c1,t,ceil2,ceil3
0,155,35,35
0,156,8,8
0,157,70,70
1,158,120,
0,159,90,90
0,160,90,90
0,161,70,70
0,162,20,20
0,163,40,40
0,164,50,50
0,165,90,90
0,166,35,35
0,167,40,40
0,168,40,40
0,169,70,70
0,170,80,80
0,171,80,80
0,172,80,80
0,173,70,70
0,174,50,50
0,175,50,50
0,176,45,45
0,177,22,22
0,178,35,35
0,179,80,80
0,180,65,65
0,181,65,65
0,182,38,38
0,183,40,40
0,184,90,90
0,185,50,50
0,186,50,50
0,187,70,70
0,188,80,80
0,189,80,80
1,190,120,
1,191,120,
1,192,120,
1,193,120,
1,194,120,
1,195,120,
0,196,23,23
0,197,22,22
0,198,25,25
0,199,21,21
0,200,21,21
0,201,21,21
0,202,21,21
0,203,22,22
0,204,23,23
0,205,27,27
0,206,31,31
0,207,30,30
0,208,15,15
0,209,15,15
0,210,13,13
0,211,13,13
0,212,10,10
0,213,10,10
0,214,10,10
0,215,25,25
0,216,23,23
0,217,11,11
0,218,15,15
0,219,14,14
1,220,120,
0,221,32,32
0,222,23,23
0,223,20,20
0,224,45,45
0,225,45,45
0,226,19,19
0,227,20,20
0,228,20,20
0,229,23,23
0,230,26,26
0,231,21,21
0,232,25,25
0,233,23,23
0,234,20,20
0,235,25,25
0,236,28,28
0,237,32,32
0,238,32,32
0,239,14,14
0,240,12,12
0,241,12,12
0,242,12,12
0,243,12,12
0,244,12,12
0,245,23,23
0,246,14,14
1,247,120,
1,248,120,
0,249,18,18
1,250,120,
1,251,120,
1,252,120,
1,253,120,
1,254,120,
1,255,120,
1,256,120,
1,257,120,
1,258,120,
1,259,120,
1,260,120,
1,261,120,
1,262,120,
1,263,120,
1,264,120,
0,265,1,1
0,266,1,1
0,267,1,1
0,268,0,0
0,269,1,1
0,270,2,2
0,271,3,3
0,272,4,4
1,273,120,
1,274,120,
1,275,120,
1,276,120,
1,277,120,
0,278,80,80
1,279,120,
1,280,120,
1,281,120,
0,282,26,26
0,283,46,46
0,284,46,46
0,285,13,13
1,286,120,
0,287,15,15
0,288,12,12
0,289,16,16
1,290,120,
0,291,80,80
0,292,40,40
0,293,28,28
0,294,28,28
0,295,28,28
1,296,120,
1,297,120,
1,298,120,
1,299,120,
1,300,120,
1,301,120,
1,302,120,
1,303,120,
1,304,120,
1,305,120,
1,306,120,
1,307,120,
1,308,120,
1,309,120,
1,310,120,
1,311,120,
1,312,120,
1,313,120,
1,314,120,
1,315,120,
1,316,120,
1,317,120,
1,318,120,
1,319,120,
1,320,120,
1,321,120,
1,322,120,
1,323,120,
1,324,120,
1,325,120,
1,326,120,
1,327,120,
1,328,120,
1,329,120,
1,330,120,
1,331,120,
1,332,120,
1,333,120,
1,334,120,
1,335,120,
1,336,120,
1,337,120,
1,338,120,
1,339,120,
0,340,10,10
0,341,12,12
0,342,12,12
1,343,120,
1,344,120,
1,345,120,
1,346,120,
1,347,120,
1,348,120,
1,349,120,
1,350,120,
1,351,120,
1,352,120,
1,353,120,
1,354,120,
0,355,120,120
0,356,14,14
0,357,18,18
0,358,28,28
0,359,32,32
0,360,34,34
0,361,23,23
0,362,23,23
0,363,28,28
1,364,120,
0,365,38,38
0,366,90,90
1,367,120,
1,368,120,
1,369,120,
1,370,120,
1,371,120,
1,372,120,
1,373,120,
1,374,120,
0,375,33,33
0,376,30,30
1,377,120,
0,378,45,45
0,379,80,80
1,380,120,
1,381,120,
1,382,120,
1,383,120,
1,384,120,
0,385,80,80
0,386,90,90
0,387,100,100
0,388,120,120
1,389,120,
1,390,120,
1,391,120,
1,392,120,
0,393,90,90
0,394,80,80
0,395,75,75
0,396,70,70
0,397,70,70
0,398,50,50
0,399,50,50
0,400,70,70
0,401,46,46
0,402,46,46
0,403,46,46
0,404,46,46
0,405,38,38
0,406,23,23
0,407,23,23
0,408,19,19
0,409,16,16
0,410,28,28
0,411,12,12
0,412,12,12
0,413,12,12
0,414,12,12
0,415,19,19
0,416,19,19
0,417,23,23
0,418,14,14
0,419,17,17
0,420,13,13
0,421,14,14
0,422,9,9
0,423,11,11
0,424,19,19
0,425,10,10
0,426,11,11
0,427,9,9
0,428,13,13
0,429,21,21
0,430,25,25
1,431,120,
1,432,120,
1,433,120,
1,434,120,
1,435,120,
1,436,120,
1,437,120,
1,438,120,
1,439,120,
1,440,120,
1,441,120,
1,442,120,
1,443,120,
1,444,120,
1,445,120,
1,446,120,
1,447,120,
1,448,120,
1,449,120,
1,450,120,
1,451,120,
1,452,120,
1,453,120,
1,454,120,
1,455,120,
1,456,120,
1,457,120,
1,458,120,
1,459,120,
1,460,120,
1,461,120,
1,462,120,
1,463,120,
1,464,120,
0,465,6,6
0,466,5,5
0,467,4,4
0,468,4,4
0,469,3,3
0,470,3,3
0,471,4,4
0,472,3,3
0,473,3,3
0,474,9,9
0,475,6,6
0,476,8,8
1,477,120,
0,478,80,80
0,479,80,80
0,480,75,75
0,481,80,80
0,482,80,80
1,483,120,
1,484,120,
0,485,4,4
1,486,120,
1,487,120,
0,488,4,4
1,489,120,
0,490,4,4
1,491,120,
1,492,120,
1,493,120,
1,494,120,
0,495,9,9
0,496,8,8
1,497,120,
1,498,120,
1,499,120,
1,500,120,
1,501,120,
1,502,120,
1,503,120,
0,504,80,80
1,505,120,
0,506,8,8
0,507,8,8
1,508,120,
1,509,120,
1,510,120,
0,511,12,12
0,512,12,12
0,513,15,15
0,514,15,15
0,515,15,15
0,516,-9,-9
1,517,120,
1,518,120,
1,519,120,
1,520,120,
0,521,38,38
0,522,100,100
1,523,120,
1,524,120,
1,525,120,
1,526,120,
0,527,100,100
0,528,55,55
0,529,55,55
0,530,18,18
0,531,15,15
0,532,15,15
0,533,14,14
0,534,15,15
0,535,8,8
0,536,12,12
0,537,14,14
0,538,13,13
0,539,11,11
0,540,-9,-9
0,541,15,15
0,542,14,14
0,543,15,15
0,544,16,16
0,545,17,17
1,546,120,
0,547,20,20
0,548,23,23
0,549,25,25
0,550,25,25
0,551,23,23
0,552,20,20
0,553,20,20
0,554,20,20
0,555,14,14
0,556,14,14
0,557,40,40
0,558,28,28
0,559,38,38
0,560,16,16
0,561,13,13
0,562,11,11
0,563,19,19
0,564,15,15
0,565,19,19
0,566,8,8
0,567,28,28
0,568,30,30
0,569,28,28
0,570,45,45
0,571,55,55
0,572,50,50
1,573,120,
1,574,120,
0,575,32,32
1,576,120,
1,577,120,
0,578,38,38
0,579,38,38
0,580,38,38
0,581,46,46
1,582,120,
1,583,120,
1,584,120,
1,585,120,
1,586,120,
1,587,120,
1,588,120,
1,589,120,
1,590,120,
1,591,120,
1,592,120,
1,593,120,
1,594,120,
1,595,120,
1,596,120,
0,597,120,120
0,598,120,120
0,599,120,120
1,600,120,
0,601,32,32
0,602,100,100
0,603,100,100
0,604,38,38
0,605,28,28
0,606,28,28
0,607,25,25
0,608,28,28
0,609,23,23
0,610,20,20
0,611,17,17
0,612,16,16
0,613,20,20
1,614,120,
1,615,120,
1,616,120,
1,617,120,
0,618,28,28
0,619,28,28
1,620,120,
1,621,120,
1,622,120,
1,623,120,
1,624,120,
0,625,80,80
0,626,80,80
0,627,50,50
0,628,50,50
0,629,46,46
0,630,28,28
0,631,28,28
0,632,25,25
0,633,20,20
0,634,28,28
0,635,16,16
0,636,15,15
0,637,12,12
0,638,23,23
0,639,19,19
0,640,15,15
0,641,15,15
0,642,15,15
0,643,13,13
0,644,12,12
0,645,15,15
1,646,120,
1,647,120,
1,648,120,
0,649,9,9
0,650,14,14
0,651,25,25
0,652,25,25
0,653,25,25
1,654,120,
1,655,120,
1,656,120,
1,657,120,
1,658,120,
1,659,120,
1,660,120,
1,661,120,
1,662,120,
1,663,120,
1,664,120,
1,665,120,
1,666,120,
1,667,120,
1,668,120,
1,669,120,
1,670,120,
1,671,120,
1,672,120,
1,673,120,
1,674,120,
1,675,120,
1,676,120,
1,677,120,
1,678,120,
1,679,120,
1,680,120,
1,681,120,
1,682,120,
1,683,120,
1,684,120,
1,685,120,
1,686,120,
1,687,120,
1,688,120,
1,689,120,
1,690,120,
1,691,120,
1,692,120,
1,693,120,
0,694,-9,-9
1,695,120,
1,696,120,
1,697,120,
1,698,120,
1,699,120,
1,700,120,
1,701,120,
1,702,120,
0,703,12,12
0,704,11,11
0,705,15,15
0,706,11,11
0,707,9,9
0,708,6,6
0,709,3,3
0,710,6,6
0,711,7,7
0,712,11,11
0,713,25,25
0,714,25,25
0,715,11,11
0,716,0,0
